"QID","Domain","Question"
"APL1","Active Projects and Learning","How do seasons of high productivity and dormancy cycle in your project life, and what triggers these shifts?"
"APL2","Active Projects and Learning","How do you determine when to seek guidance versus figuring something out independently?"
"APL3","Active Projects and Learning","How do you integrate new knowledge or skills into your existing frameworks of understanding?"
"APL4","Active Projects and Learning","How do you know when to abandon a project versus push through resistance?"
"APL5","Active Projects and Learning","How do you track or organize your learning and progress over time?"
"APL6","Active Projects and Learning","How do you typically choose what to work on next?"
"APL7","Active Projects and Learning","How does your approach to learning differ when you're acquiring knowledge for practical use versus pure interest?"
"APL8","Active Projects and Learning","How has your relationship with perfectionism evolved in your project work over time?"
"APL9","Active Projects and Learning","What are you learning right now that feels especially meaningful?"
"APL10","Active Projects and Learning","What connections have you discovered between seemingly unrelated areas of interest or learning?"
"APL11","Active Projects and Learning","What creative or intellectual pursuit intimidates you most, and how do you approach that discomfort?"
"APL12","Active Projects and Learning","What kinds of problems or challenges energize you to take action?"
"APL13","Active Projects and Learning","What patterns do you notice in how you start or finish things?"
"APL14","Active Projects and Learning","What project failure taught you the most valuable lessons about your approach to challenges?"
"APL15","Active Projects and Learning","What role does physical space play in how you engage with different types of projects or learning?"
"APL16","Active Projects and Learning","What tensions exist between your desire for mastery and your curiosity about new domains?"
"APL17","Active Projects and Learning","What's a project that taught you more than you expected?"
"APL18","Active Projects and Learning","What's a skill or area of knowledge you pursued just for curiosity's sake?"
"APL19","Active Projects and Learning","When have you been most ""in flow"" — and what were you doing?"
"APL20","Active Projects and Learning","Who do you share your projects or learnings with — and why them?"
"CIE1","Community and Ideological Engagement","Have you ever gone through a period of disillusionment with a belief system or community? What was the outcome?"
"CIE2","Community and Ideological Engagement","How do you decide whether to align yourself with a larger group or stand apart?"
"CIE3","Community and Ideological Engagement","How do you navigate the tension between individual expression and group cohesion in communities important to you?"
"CIE4","Community and Ideological Engagement","How do you reconcile contradictions between different communities or ideological frameworks you participate in?"
"CIE5","Community and Ideological Engagement","How do you respond when core values of a community you belong to shift in directions you find uncomfortable?"
"CIE6","Community and Ideological Engagement","How do you tend to engage when societal events or crises occur?"
"CIE7","Community and Ideological Engagement","How has your approach to civic responsibility or community contribution changed across different life stages?"
"CIE8","Community and Ideological Engagement","How has your engagement with news and information sources evolved, and what prompted those changes?"
"CIE9","Community and Ideological Engagement","How has your worldview or political stance changed over time? What caused those shifts?"
"CIE10","Community and Ideological Engagement","What cause or issue have you felt most driven to support, and why?"
"CIE11","Community and Ideological Engagement","What communities have you felt a deep sense of belonging in, and what role did you play in them?"
"CIE12","Community and Ideological Engagement","What experience challenged your sense of belonging to an identity group you previously felt connected to?"
"CIE13","Community and Ideological Engagement","What experience exposed you to a worldview radically different from your own, and how did it affect you?"
"CIE14","Community and Ideological Engagement","What kind of legacy or impact do you hope to have on your community or the broader world?"
"CIE15","Community and Ideological Engagement","What kinds of communities energize you — and which ones deplete you?"
"CIE16","Community and Ideological Engagement","What responsibility do you feel toward bridging divides between different communities or belief systems you understand?"
"CIE17","Community and Ideological Engagement","What role has religion or spirituality played in your sense of community belonging throughout different life phases?"
"CIE18","Community and Ideological Engagement","What social or political issue have you completely reversed your position on, and what catalyzed that change?"
"CIE19","Community and Ideological Engagement","What traditions or cultural practices have mattered most to you at different points in your life?"
"CIE20","Community and Ideological Engagement","When have you chosen to stay silent in a group — and when have you spoken up? What made the difference?"
"DRH1","Daily Routines and Health","Have you ever consciously redesigned your daily routine? What was the motivation and result?"
"DRH2","Daily Routines and Health","How do seasons or natural cycles affect your energy patterns and routine adjustments?"
"DRH3","Daily Routines and Health","How do you balance discipline and flexibility in your day-to-day life?"
"DRH4","Daily Routines and Health","How do you typically respond to disruption in your daily structure?"
"DRH5","Daily Routines and Health","How has your approach to rest and recovery changed compared to your younger self?"
"DRH6","Daily Routines and Health","How has your concept of ""health"" changed over time?"
"DRH7","Daily Routines and Health","How has your definition of ""balance"" in daily life changed as you've moved through different life stages?"
"DRH8","Daily Routines and Health","How has your relationship with preventative health measures versus reactive care evolved over time?"
"DRH9","Daily Routines and Health","How have major life transitions (moves, career changes, relationships) impacted your health habits and routines?"
"DRH10","Daily Routines and Health","What do you know now about your energy rhythms that you wish you had known earlier?"
"DRH11","Daily Routines and Health","What environmental factors have you discovered significantly impact your physical or mental wellbeing?"
"DRH12","Daily Routines and Health","What has been your relationship with food, movement, or sleep across different life stages?"
"DRH13","Daily Routines and Health","What health assumption or conventional wisdom did you follow for years before realizing it didn't serve you?"
"DRH14","Daily Routines and Health","What health practice did you initially resist that later became essential to your wellbeing?"
"DRH15","Daily Routines and Health","What role does anticipation or planning play in maintaining your sense of control over daily life?"
"DRH16","Daily Routines and Health","What role does technology play in supporting — or undermining — your habits?"
"DRH17","Daily Routines and Health","What routines or rituals have you maintained for years, and why do they matter to you?"
"DRH18","Daily Routines and Health","What sensory experiences (sounds, flavors, physical sensations) do you intentionally incorporate into your routines and why?"
"DRH19","Daily Routines and Health","What signals in your body or mood do you pay attention to most?"
"DRH20","Daily Routines and Health","When do you feel most mentally clear or physically well?"
"PH1","Personal History","How did the physical spaces where you grew up (neighborhood, landscape, climate) influence your sense of possibility or limitation?"
"PH2","Personal History","How did travel or geographical moves in your early life shape your perspective of the world?"
"PH3","Personal History","How did your family talk about success or failure when you were growing up?"
"PH4","Personal History","How did your relationship with authority (parents, teachers, institutions) form in your early years?"
"PH5","Personal History","How have your early experiences with independence shaped your later choices in life?"
"PH6","Personal History","Were there any particular objects, places, or routines that defined your childhood environment?"
"PH7","Personal History","What childhood book, movie, or story had the most profound impact on your imagination, and how do you see its influence in your adult life?"
"PH8","Personal History","What family tradition or custom from your childhood do you now see differently as an adult, and why?"
"PH9","Personal History","What generational patterns or traits do you recognize from your family that have appeared in your own life, intentionally or not?"
"PH10","Personal History","What is one early memory that feels unusually vivid or significant to you, and why do you think it stuck?"
"PH11","Personal History","What role did school play in shaping your sense of identity or ability?"
"PH12","Personal History","What significant historical events occurred during your formative years, and how did adults around you explain or react to them?"
"PH13","Personal History","What was a turning point in your life before the age of 20, and how did it affect your direction?"
"PH14","Personal History","What was your earliest experience of feeling different from others, and how did you respond to that realization?"
"PH15","Personal History","What was your first experience of loss or disappointment, and how did it shape your expectations moving forward?"
"PH16","Personal History","What was your relationship with technology or media during your childhood, and how has that influenced your adaptability to change?"
"PH17","Personal History","What were you known for as a child or teenager, and how does that compare to how you see yourself now?"
"PH18","Personal History","What's a story from your youth that you've told often — and why do you think you return to it?"
"PH19","Personal History","When did you first become aware of your family's financial or social status, and how did that awareness affect you?"
"PH20","Personal History","When you think of ""home"" in your early life, what images or feelings come to mind?"
"PE1","Professional Evolution","Can you describe a professional moment when you felt completely out of your depth? What did you learn from it?"
"PE2","Professional Evolution","Have you ever consciously pivoted your career direction? What prompted the change?"
"PE3","Professional Evolution","How do you measure the impact of your work beyond titles or compensation?"
"PE4","Professional Evolution","How has failure or rejection in your professional life redirected your path in unexpected ways?"
"PE5","Professional Evolution","How has geographical location affected your career opportunities and professional identity?"
"PE6","Professional Evolution","How has your relationship with authority evolved as you've progressed in your career?"
"PE7","Professional Evolution","How have your definitions of success or ambition shifted over the years?"
"PE8","Professional Evolution","How have your professional strengths changed over time — or how has your awareness of them changed?"
"PE9","Professional Evolution","What aspects of your work have remained consistent despite changes in roles, companies, or industries?"
"PE10","Professional Evolution","What assumptions about work did you inherit from family or culture that you've since questioned or rejected?"
"PE11","Professional Evolution","What have you learned about your working style through trial and error?"
"PE12","Professional Evolution","What motivated you to choose your original career path, and how has that motivation evolved?"
"PE13","Professional Evolution","What professional experience taught you the most about your own boundaries or limits?"
"PE14","Professional Evolution","What role has luck or timing played in significant professional transitions in your life?"
"PE15","Professional Evolution","What skills or talents did you possess naturally that you've had to deliberately refine or manage in professional settings?"
"PE16","Professional Evolution","What trade-offs have you made in your career, and how do you feel about them now?"
"PE17","Professional Evolution","What was a role or job you took that changed how you think about work itself?"
"PE18","Professional Evolution","When have you felt most aligned between your values and your work?"
"PE19","Professional Evolution","When have you felt the strongest disconnect between your public professional persona and your private self?"
"PE20","Professional Evolution","Who has had the most influence on your professional development, and in what way?"
"PBE","Psychological and Behavioral Evolution","Are there any recurring patterns in your decision-making that you've noticed across the years? How have you tried to change—or keep—them?"
"PBE","Psychological and Behavioral Evolution","Can you describe a period in your life when your habits radically shifted—either improved or worsened? What drove that shift?"
"PBE","Psychological and Behavioral Evolution","Describe a moment when you felt particularly ""yourself."" What about your mindset or behavior made it feel authentic?"
"PBE","Psychological and Behavioral Evolution","How has your approach to learning and acquiring new skills evolved as you've aged?"
"PBE","Psychological and Behavioral Evolution","How has your capacity for emotional regulation developed over time, and what triggered those changes?"
"PBE","Psychological and Behavioral Evolution","How has your perception of time and its passage shifted at different life stages?"
"PBE","Psychological and Behavioral Evolution","How has your relationship with introspection or self-analysis changed throughout your life?"
"PBE","Psychological and Behavioral Evolution","How has your relationship with uncertainty or ambiguity changed over time?"
"PBE","Psychological and Behavioral Evolution","How have your coping mechanisms for stress or conflict evolved since your early adulthood? Can you give an example?"
"PBE","Psychological and Behavioral Evolution","Think of a time you surprised yourself with your own behavior. What happened, and how did you make sense of it afterward?"
"PBE","Psychological and Behavioral Evolution","What feedback have you received repeatedly throughout your life that you initially resisted but eventually recognized as accurate?"
"PBE","Psychological and Behavioral Evolution","What kinds of situations tend to trigger your strongest emotional reactions, and has that changed over time?"
"PBE","Psychological and Behavioral Evolution","What part of your personality feels most stable and unchanging, despite life's transformations?"
"PBE","Psychological and Behavioral Evolution","What personal crisis forced you to develop new psychological resources or coping strategies?"
"PBE","Psychological and Behavioral Evolution","What physical or mental health challenge has most significantly altered your self-perception or behaviors?"
"PBE","Psychological and Behavioral Evolution","What unconscious bias or prejudice have you recognized in yourself and worked to address?"
"PBE","Psychological and Behavioral Evolution","What's a belief you held strongly in your twenties that you've significantly revised or abandoned? What triggered the change?"
"PBE","Psychological and Behavioral Evolution","What's a risk you once feared but now approach with confidence or calm? What helped you make that change?"
"PBE","Psychological and Behavioral Evolution","What's one behavior you've worked hard to develop or unlearn? Why was it important to you, and what helped or hindered you?"
"PBE","Psychological and Behavioral Evolution","Who in your life has challenged your thinking the most? How did that impact your internal worldview or behaviors?"
"RN1","Relationships and Networks","Have you ever had to leave a relationship or network behind to grow? How did you handle it?"
"RN2","Relationships and Networks","How do cultural or geographical transitions in your life story reflect in your social connections?"
"RN3","Relationships and Networks","How do generational differences manifest in your relationships with people significantly older or younger than you?"
"RN4","Relationships and Networks","How do you recognize when a relationship has served its purpose in your life?"
"RN5","Relationships and Networks","How do you typically navigate conflict in close relationships, and has that changed over time?"
"RN6","Relationships and Networks","How has technology changed the way you form or maintain relationships compared to earlier in your life?"
"RN7","Relationships and Networks","How has your approach to mentoring or being mentored evolved?"
"RN8","Relationships and Networks","How has your approach to vulnerability in relationships evolved over time?"
"RN9","Relationships and Networks","What kinds of people are you drawn to repeatedly — and why do you think that is?"
"RN10","Relationships and Networks","What patterns do you notice in how your friendships tend to form or fade?"
"RN11","Relationships and Networks","What relationship boundary did you learn to establish the hard way?"
"RN12","Relationships and Networks","What relationship dynamic repeatedly appears in your life that you recognize as a pattern to address?"
"RN13","Relationships and Networks","What relationship taught you the most about your own capacity for change or adaptation?"
"RN14","Relationships and Networks","What role does reciprocity play in how you evaluate and maintain your relationships?"
"RN15","Relationships and Networks","What's something you wish people understood about how you relate to others?"
"RN16","Relationships and Networks","What's the most significant way your approach to family relationships has evolved as you've aged?"
"RN17","Relationships and Networks","When have you felt most connected to a group or community? What contributed to that feeling?"
"RN18","Relationships and Networks","When have you felt truly seen or understood by someone? What made that possible?"
"RN19","Relationships and Networks","Who are the people who have most shaped your life, and in what ways?"
"RN20","Relationships and Networks","Who do you turn to when you're uncertain, and what does that say about your trust structures?"
"VBG1","Values, Beliefs, and Goals","Have you ever adopted someone else's goals or values by accident? What happened?"
"VBG2","Values, Beliefs, and Goals","How do you define integrity for yourself, and how do you test or measure it?"
"VBG3","Values, Beliefs, and Goals","How do you identify when a goal you're pursuing is truly yours versus adopted from external expectations?"
"VBG4","Values, Beliefs, and Goals","How do you recognize when you're out of alignment with your own beliefs?"
"VBG5","Values, Beliefs, and Goals","How do you set goals or intentions — and has that method evolved?"
"VBG6","Values, Beliefs, and Goals","How has your concept of responsibility—to yourself, others, society—evolved over time?"
"VBG7","Values, Beliefs, and Goals","How has your definition of success evolved from what was modeled for you in childhood?"
"VBG8","Values, Beliefs, and Goals","How has your relationship with uncertainty or the unknown shifted in relation to your life planning?"
"VBG9","Values, Beliefs, and Goals","How has your understanding of time influenced your goal-setting and life priorities?"
"VBG10","Values, Beliefs, and Goals","What aspiration have you abandoned that once seemed central to your identity, and what replaced it?"
"VBG11","Values, Beliefs, and Goals","What belief do you hold that puts you at odds with people you otherwise align with?"
"VBG12","Values, Beliefs, and Goals","What ethical compromise have you made that later caused you to reevaluate your principles?"
"VBG13","Values, Beliefs, and Goals","What experience challenged a moral certainty you held, and how did you reconcile that challenge?"
"VBG14","Values, Beliefs, and Goals","What goals have remained steady across your life, and which ones have faded or changed?"
"VBG15","Values, Beliefs, and Goals","What value became more important to you as you aged that seemed irrelevant in your youth?"
"VBG16","Values, Beliefs, and Goals","What values feel non-negotiable to you, no matter the context?"
"VBG17","Values, Beliefs, and Goals","What's a moment when you felt proud — and what does that reveal about what you value?"
"VBG18","Values, Beliefs, and Goals","What's a question you return to again and again in life?"
"VBG19","Values, Beliefs, and Goals","When have you had to choose between two values or priorities? How did you navigate it?"
"VBG20","Values, Beliefs, and Goals","When have your actions most clearly reflected your core principles?"
"ND1","Non-Domain","For a person you loved deeply, would you be willing to move to a distant country knowing there would be little chance of seeing your friends or family again?  "
"ND2","Non-Domain","Do you believe in ghosts or evil spirits? Would you be willing to spend a night alone in a remote house that is supposedly haunted?  "
"ND3","Non-Domain","If you were to die this evening with no opportunity to communicate with anyone, what would you most regret not having told someone? Why haven't you told them yet?  "
"ND4","Non-Domain","If you could spend one year in perfect happiness but afterward remember nothing of the experience would you do so? If not, why not?  "
"ND5","Non-Domain","If a new medicine were developed that would cure arthritis but cause a fatal reaction in 1 percent of those who took it, would you want it to be released to the public?  "
"ND6","Non-Domain","You discover your wonderful one-year-old child is, because of a mixup at the hospital, not yours. Would you want to exchange the child to try to correct the mistake?  "
"ND7","Non-Domain","Do you think that the world will be a better or worse place 100 years from now?  "
"ND8","Non-Domain","Would you rather be a member of a world championship sports team or be the champion of an individual sport? Which sport would you choose?  "
"ND9","Non-Domain","Would you accept $1,000,000 to leave the country and never set foot in it again?  "
"ND10","Non-Domain","Which sex do you think has it easier in our culture? Have you ever wished you were of the opposite sex?  "
"ND11","Non-Domain","You are given the power to kill people simply by thinking of their deaths and twice repeating the word ""good-bye."" People would die a natural death and no one would suspect you. Are there any situations in which you would use this power?  "
"ND12","Non-Domain","If you were able to live to the age of 90 and retain either the body or the mind of a 30-year-old for the last 60 years of your life, which would you want?  "
"ND13","Non-Domain","What would constitute a ""perfect"" evening for you?  "
"ND14","Non-Domain","Would you rather be extremely successful professionally and have a tolerable yet unexciting private life, or have an extremely happy private life and only a tolerable and uninspiring professional life?  "
"ND15","Non-Domain","Whom do you admire most? In what way does that person inspire you?  "
"ND16","Non-Domain","If at birth you could select the profession your child would eventually pursue, would you do so?  "
"ND17","Non-Domain","Would you be willing to become extremely ugly physically if it meant you would live for 1,000 years at any physical age you chose?  "
"ND18","Non-Domain","If you could wake up tomorrow having gained any one ability or quality, what would it be?  "
"ND19","Non-Domain","You have the chance to meet someone with whom you can have the most satisfying love imaginable -- the stuff of dreams. Sadly, you know that in six months the person will die. Knowing the pain that would follow, would you still want to meet the person and fall in love? What if you knew your lover would not die, but instead would betray you?  "
"ND20","Non-Domain","If you knew of a way to use your estate, following your death, to greatly benefit humanity, would you do it and leave only a minimal amount to your family?  "
"ND21","Non-Domain","Do you prefer being around men or women? Do your closest friends tend to be men or women?  "
"ND22","Non-Domain","If you could use a voodoo doll to hurt anyone you chose, would you?  "
"ND23","Non-Domain","While on a trip to another city, your spouse (or lover) meets and spends a night with an exciting stranger. Given that they will never meet again, and that you will not otherwise learn of the incident, would you want your partner to tell you about it? If roles were reversed, would you reveal what you had done?  "
"ND24","Non-Domain","Are there people you envy enough to want to trade lives with them? Who are they?  "
"ND25","Non-Domain","For an all-expense-paid, one-week vacation anywhere in the world, would you be willing to kill a beautiful butterfly by pulling off its wings? What about stepping on a cockroach?  "
"ND26","Non-Domain","Would you be willing to murder an innocent person if it would end hunger in the world?  "
"ND27","Non-Domain","If God appeared to you in a series of vivid and moving dreams and told you to leave everything behind, travel alone to the Red Sea and become a fisherman, what would you do? What if you were told to sacrifice your child?  "
"ND28","Non-Domain","What is your most treasured memory?  "
"ND29","Non-Domain","Have you ever hated anyone? If so, why and for how long?  "
"ND30","Non-Domain","Would you rather be given $10,000 for your own use or $100,000 to give anonymously to strangers? What if you could keep $1,000,000 or give away $20,000,000?  "
"ND31","Non-Domain","If you knew there would be a nuclear war in one week, what would you do?  "
"ND32","Non-Domain","Would you accept twenty years of extraordinary happiness and fulfillment if it meant you would die at the end of the period?  "
"ND33","Non-Domain","What is the greatest accomplishment of your life? Is there anything you hope to do that is even better?  "
"ND34","Non-Domain","What was your most enjoyable dream? Your worst nightmare?  "
"ND35","Non-Domain","Would you give up half of what you now own for a pill that would permanently change you so that one hour of sleep each day would fully refresh you?  "
"ND36","Non-Domain","If you knew you could devote yourself to any single occupation--music, writing, acting, business, politics, medicine, etc.--and be among the best and most successful in the world at it, what would you choose? If you knew you had only a 10 percent chance of being so successful, would you still put in the effort?  "
"ND37","Non-Domain","What was your best experience with drugs or alcohol? Your worst experience?  "
"ND38","Non-Domain","If you went to a dinner party and were offered a dish you had never tried, would you want to taste it even if it sounded strange and not very appealing?  "
"ND39","Non-Domain","Do your close friends tend to be older or younger than you?  "
"ND40","Non-Domain","If the person you were engaged to marry had an accident and became a paraplegic, would you go through with the marriage or back out of it?  "
"ND41","Non-Domain","Your house, containing everything you own, catches fire; after saving your loved ones and pets, you have time to safely make a final dash to save any one item. What would it be?  "
"ND42","Non-Domain","How would you react if you were to learn that your mate had had a lover of the same sex before you knew each other?  "
"ND43","Non-Domain","When were you last in a fight? What caused it and who won?  "
"ND44","Non-Domain","You are offered $1,000,000 for the following act: Before you are ten pistols -- only one of which is loaded. You must pick up one of the pistols, point it at your forehead, and pull the trigger. If you can walk away, you do so a millionaire. Would you accept the risk?  "
"ND45","Non-Domain","Someone very close to you is in pain, paralyzed, and will die within a month. He begs you to give him poison so that he can die. Would you? What if it were your father?  "
"ND46","Non-Domain","When did you last sing to yourself? To someone else?  "
"ND47","Non-Domain","You have the power to go any distance into the future and, after one year, return to the present with any knowledge you have gained from your experience but with no physical objects. Would you make the journey if it carried a 50 percent risk of death?  "
"ND48","Non-Domain","Given the choice of anyone in the world, whom would you want as your dinner guest? As your close friend? As your lover?  "
"ND49","Non-Domain","While parking late at night, you slightly scrape the side of a Porsche. You are certain no one else is aware of what happened. The damage is minor and would not be covered by insurance. Would you leave a note?  "
"ND50","Non-Domain","If you could choose the manner of your death, what would it be?  "
"ND51","Non-Domain","Do you have any specific long-term goals? What is one and how do you plan on reaching it?  "
"ND52","Non-Domain","For what in your life do you feel most grateful?  "
"ND53","Non-Domain","How do you react when people sing ""Happy Birthday"" to you in a restaurant?  "
"ND54","Non-Domain","What is the worst psychological torture you can imagine suffering? Anything causing even minor physical injury should not be considered.  "
"ND55","Non-Domain","Would you like your spouse to be both smarter and more attractive than you?  "
"ND56","Non-Domain","If you found that a good friend had AIDS, would you avoid him? What if your brother or sister had it?  "
"ND57","Non-Domain","Would you be willing to give up sex for one year if you knew it would give you a much deeper sense of peace than you have now?  "
"ND58","Non-Domain","A good friend pulls off a well-conceived practical joke that plays on one of your foibles and makes you look ridiculous. How would you react?  "
"ND59","Non-Domain","By controlling medical research funds, you are in the position to guarantee that a cure will be found in 15 years for any disease you choose. Unfortunately, no progress on any others would be made during that period. Would you target one disease?  "
"ND60","Non-Domain","Would you add one year to your life if it meant taking one year from the life of someone in the world selected at random? Would it matter if you were told whose life you had shortened?  "
"ND61","Non-Domain","Can you urinate in front of another person?  "
"ND62","Non-Domain","If you walked out of your house one morning and saw a bird with a broken wing huddled in some nearby bushes, what would you do?  "
"ND63","Non-Domain","Assume there were a technological breakthrough that would allow people to travel as easily and cheaply between continents as between nearby cities. Unfortunately, there would also be 100,000 deaths a year from the device. Would you try to prevent its use?  "
"ND64","Non-Domain","You and a person you love deeply are placed in separate rooms with a button next to each of you. You know that you will both be killed unless one of you presses your button before 60 minutes pass; furthermore, the first to press the button will save the other person, but will immediately be killed. What do you think you would do?  "
"ND65","Non-Domain","When you tell a story, do you often exaggerate or embellish it? If so, why?  "
"ND66","Non-Domain","Do you feel that advice from older people carries a special weight because of their greater experience?  "
"ND67","Non-Domain","Without your kidney as a transplant, someone close to you will die within one month. The odds that you will survive the operation are only 50 percent, but should you survive, you would be certain of normal life expectancy. Would you consent to the operation?  "
"ND68","Non-Domain","When has your life dramatically changed as the result of some seemingly random external influence? How much do you feel in control of the course of your life?  "
"ND69","Non-Domain","If a friend were almost always late, would you resent it or simply allow for it? Can you be counted on to be on time?  "
"ND70","Non-Domain","When did you last yell at someone? Why? Did you later regret it?  "
"ND71","Non-Domain","Would you be willing to have horrible nightmares every night for a year if you would be rewarded with extraordinary wealth?  "
"ND72","Non-Domain","If you could have free, unlimited service for five years from an extremely good cook, chauffeur, housekeeper, masseuse, or personal secretary, which would you choose?  "
"ND73","Non-Domain","Would you be willing to go to a slaughterhouse and kill a cow? Do you eat meat?  "
"ND74","Non-Domain","Would you enjoy spending a month of solitude in beautiful natural settings? Food and shelter would be provided but you would not see another person.  "
"ND75","Non-Domain","After a medical examination, your doctor calls and gravely says you have a rare lymphatic cancer and only a few months to live. Five days later, she informs you that the lab tests were mislabeled; you are perfectly healthy. Forced for a moment to look death in the face, you have been allowed to turn and go on. During those difficult days you would certainly have gained some insights about yourself. Do you think they would be worth the pain?  "
"ND76","Non-Domain","One hot summer afternoon, while walking through a parking lot at a large shopping center, you notice a dog suffering badly from the heat inside a locked car. What would you do?  "
"ND77","Non-Domain","Do you feel ill at ease going alone to either dinner or a movie? What about going on a vacation by yourself?  "
"ND78","Non-Domain","If you knew that in one year you would die suddenly, would you change anything about the way you are now living?  "
"ND79","Non-Domain","For $20,000, would you go for three months without washing, brushing your teeth, or using deodorant? Assume you could not explain your reasons to anyone, and that there would be no long-term effect on your career.  "
"ND80","Non-Domain","Would you rather die peacefully among friends at age 50, or painfully and alone at age 80? Assume that most of the last 30 years would be good ones.  "
"ND81","Non-Domain","If you were to discover that your closest friend was a heroin dealer, what would you do?  "
"ND82","Non-Domain","Is it easy for you to accept help when you need it? Will you ask for help?  "
"ND83","Non-Domain","If you were helping to raise money for a charity and someone agreed to make a large contribution if you would perform at the upcoming fund-raising show, would you? If so, what would you like to perform? Assume the show would have an audience of about 1,000.  "
"ND84","Non-Domain","Would you have one of your fingers surgically removed if it somehow guaranteed immunity from all major diseases?  "
"ND85","Non-Domain","Would you like to be famous? In what way?  "
"ND86","Non-Domain","How do you picture your funeral? Is it important for you to have people mourn your death?  "
"ND87","Non-Domain","Which of the following restrictions could you best tolerate: leaving the country permanently, or never leaving the state in which you now live?  "
