"QID","Domain","Question"
"ND88","Non-Domain","You, your closest friend, and your father are on vacation together, hiking in a remote jungle. Your two companions stumble into a nest of poisonous vipers and are bitten repeatedly. You know that neither will live without an immediate shot of anti-venom, yet there is only a single dose of anti-venom and it is in your pocket. What would you do?  "
"ND89","Non-Domain","Where would you choose to be if you could place yourself anywhere on a scale from one to ten, where one is hardship, struggle, and extraordinary accomplishment and ten is comfort, peace of mind, and no accomplishment? Why? Where are you now?  "
"ND90","Non-Domain","If you could choose the sex and physical appearance of your soon-to-be-born child, would you do it?  "
"ND91","Non-Domain","Would you rather play a game with someone more or less talented than you? Would it matter who was watching?  "
"ND92","Non-Domain","Is there something you've dreamed of doing for a long time? Why haven't you done it?  "
"ND93","Non-Domain","While in the government, you discover the President is committing extortion and other serious crimes. By exposing the situation you might bring about the President's downfall, but your career would be destroyed because you would be framed, fired, and publicly humiliated on other matters. Knowing you would be vindicated five years later, would you blow the whistle? What if you knew you would never be vindicated?  "
"ND94","Non-Domain","On a busy street, you are approached apologetically by a well-dressed stranger who asks you for a dollar to catch a bus and make a phone call. He says he has lost his wallet. What would you do? If approached in the same way by a haggard-looking stranger claiming to be hungry and unable to find a job, what would you do?  "
"ND95","Non-Domain","If by sacrificing your life you could contribute so much to the world that you would be honored in all nations, would you be willing to do so? If so, would you make the same sacrifice knowing that someone you thoroughly disliked would receive the honor while you went unrecognized?  "
"ND96","Non-Domain","Knowing you had a 50 percent chance of winning and would be paid 10 times the amount of your bet if you won, what fraction of what you now own would you be willing to wager?  "
"ND97","Non-Domain","What are your most compulsive habits? Do you regularly struggle to break these habits?  "
"ND98","Non-Domain","You know you will die of an incurable disease within three months. Would you allow yourself to be frozen within the week if you knew it would give you a modest chance of being revived in 1,000 years and living a greatly extended life?  "
"ND99","Non-Domain","You are driving late at night in a safe but deserted neighborhood when a dog suddenly darts in front of your car. Though you slam on the brakes, you hit the animal. Would you stop to see how injured the animal was? If you did so and found that the dog was dead but had a name tag, would you contact the owner?  "
"ND100","Non-Domain","What do you most strive for in your life: accomplishment, security, love, power, excitement, knowledge, or something else?  "
"ND101","Non-Domain","An eccentric millionaire offers to donate a large sum to charity if you will step -- completely naked -- from a car onto a busy downtown street, walk four blocks, and climb back into the car. Knowing that there would be no danger of physical abuse, would you do it?  "
"ND102","Non-Domain","How close and warm is your family? Do you feel your childhood was happier than most other people's?  "
"ND103","Non-Domain","Does the fact that you have never done something before increase or decrease its appeal to you?  "
"ND104","Non-Domain","Would you be willing to give up sex for five years if you could have wonderfully sensual and erotic dreams any night you wished?  "
"ND105","Non-Domain","At a meal, your friends start belittling a common acquaintance. If you felt their criticisms were unjustified, would you defend the person?  "
"ND106","Non-Domain","Do you usually make a special effort to thank someone who does you a favor? How do you react when you aren't thanked for going out of your way for someone?  "
"ND107","Non-Domain","Would you like to have your rate of physical aging slowed by a factor of thirty to give you a life expectancy of about 2,000 years?  "
"ND108","Non-Domain","You are invited to a party that will be attended by many fascinating people you've never met. Would you want to go if you had to go by yourself?  "
"ND109","Non-Domain","Since adolescence, in what three-year period do you feel you experienced the most personal growth and change?  "
"ND110","Non-Domain","If you were having difficulty on an important test and could safely cheat by looking at someone else's paper, would you do so?  "
"ND111","Non-Domain","If your parents became infirm and the only alternative to bringing them into your home was to put them in a nursing home, would you do so? What about a sister or brother who suffered a permanently crippling injury and -- other than your home -- had nowhere to go but a convalescent home?  "
"ND112","Non-Domain","If you were at a friend's house for Thanksgiving dinner and you found a dead cockroach in your salad, what would you do?  "
"ND113","Non-Domain","If you could take a one-month trip anywhere in the world and money were not a consideration, where would you go and what would you do?  "
"ND114","Non-Domain","Would you be willing to reduce your life expectancy by five years to become extremely attractive?  "
"ND115","Non-Domain","Given the ability to project yourself into the past but not return, would you do so? Where would you go and what would you try to accomplish if you knew you might change the course of history?  "
"ND116","Non-Domain","How many different sexual partners have you had in your life? Would you prefer to have had more or fewer?  "
"ND117","Non-Domain","Have you ever considered suicide? What is so important to you that without it life would not be worth living?  "
"ND118","Non-Domain","If your friends and acquaintances were willing to bluntly and honestly tell you what they really thought of you, would you want them to?  "
"ND119","Non-Domain","If this country were to suffer an unprovoked nuclear attack and would be totally obliterated in a matter of minutes, would you favor unleashing the U.S. nuclear arsenal upon the attackers?  "
"ND120","Non-Domain","Would you accept $10,000 to shave your head and continue your normal activities sans hat or wig without explaining the reason for your haircut?  "
"ND121","Non-Domain","Were you able to wake up tomorrow in the body of someone else, would you do so? Whom would you pick?  "
"ND122","Non-Domain","If you were happily married, and then met someone you felt was certain to always bring you deeply passionate, intoxicating love, would you leave your spouse? What if you had kids?  "
"ND123","Non-Domain","When you do something ridiculous, how much does it bother you to have other people notice it and laugh at you?  "
"ND124","Non-Domain","Who is the most important person in your life? What could you do to improve the relationship? Will you ever do it?  "
"ND125","Non-Domain","Assuming that complete recovery were instantaneous, would you be willing to accept a year of complete paralysis below the neck to prevent the otherwise certain extinction of the blue whale?  "
"ND126","Non-Domain","Do you believe in capital punishment? Would you be willing to execute a man sentenced to death by the courts if you were selected by lot to do so and he would go free if you refused? Assume you know no details of the trial.  "
"ND127","Non-Domain","If you could change anything about the way you were raised, what would it be?  "
"ND128","Non-Domain","You are at a lake with some friends; the sun is warm and the water is cold. Going into the water would temporarily chill you but you know that later the warm sun would be even more enjoyable and you would be glad you had gone in. Would you take the plunge?  "
"ND129","Non-Domain","Do you believe in any sort of God? If not, do you think you might still pray if you were in a life-threatening situation?  "
"ND130","Non-Domain","While out one day, you are surprised to see your mother holding hands with someone who is clearly her lover. She notices you, runs over, and begs you not to say anything to your father. How would you respond? What would you do if your father later told you that he was going crazy because he kept thinking your mother was having an affair yet knew it was just his imagination?  "
"ND131","Non-Domain","If 100 people your age were chosen at random, how many do you think you'd find leading a more satisfying life than yours?  "
"ND132","Non-Domain","If you went to a beach and it turned out to be a nude beach, would you stay and go swimming? Would you swim nude?  "
"ND133","Non-Domain","Have you had satisfying sex within the last three months?  "
"ND134","Non-Domain","Would it disturb you much if, upon your death, your body were simply thrown into the woods and left to rot? Why?  "
"ND135","Non-Domain","Which would you prefer: a wild, turbulent life filled with joy, sorrow, passion, and adventure -- intoxicating successes and stunning setbacks; or a happy, secure, predictable life surrounded by friends and family without such wide swings of fortune and mood?  "
"ND136","Non-Domain","If you knew your child would be severely retarded and would die by the age of five, would you decide to have an abortion?  "
"ND137","Non-Domain","Do you find it so hard to say ""no"" that you regularly do favors you do not want to do? If so, why?  "
"ND138","Non-Domain","If you began to be very attracted to someone of another race, how would your behavior differ from what it would be toward someone of your own race?  "
"ND139","Non-Domain","Would you rather spend a month on vacation with your parents or put in overtime at your current job for four weeks without extra compensation?  "
"ND140","Non-Domain","Would you like to know the precise date of your death?  "
"ND141","Non-Domain","Would you accept a guaranteed, lifetime allowance of $50,000 per year (adjusted annually for inflation) if accepting it meant that you could never again earn money from either work or investments?  "
"ND142","Non-Domain","What, if anything, is too serious to be joked about?  "
"ND143","Non-Domain","Do you ever spit or pick your nose in public? What about cleaning your teeth with a toothpick?  "
"ND144","Non-Domain","A close friend asks -- and genuinely wants -- your opinion about something, but your opinion is one that he is likely to find quite painful. For example, your friend is an artist and asks your honest estimate of his chances of being successful. You think he is an atrocious artist who hasn't the slightest chance of success. What would you do?  "
"ND145","Non-Domain","Do you have a favorite sexual fantasy? Would you like to have it fulfilled?  "
"ND146","Non-Domain","If you knew a thermonuclear holocaust would occur in precisely 20 years and no one would survive it, how would you change your present life?  "
"ND147","Non-Domain","When did you last cry in front of another person? By yourself?  "
"ND148","Non-Domain","If, by having a 2 inch by 2 inch tattoo, you could save five lives and prevent a terrorist attack, would you do so? If you were allowed to select the location and design, where would you have it and what would the design be?  "
"ND149","Non-Domain","Someone you love deeply is brutally murdered and you know the identity of the murderer, who unfortunately is acquitted of the crime. Would you seek revenge?  "
"ND150","Non-Domain","Would you be willing to give up all television for the next five years if it would induce someone to provide for 1,000 starving children in Indonesia?  "
"ND151","Non-Domain","While arguing with a close friend on the telephone, she gets angry and hangs up. Assuming she is at fault and makes no attempt to contact you, how long would you wait to get in touch with her?  "
"ND152","Non-Domain","What do you value most in a relationship?  "
"ND153","Non-Domain","If you learned you would die in a few days, what regrets would you have? Were you given five extra years of life, could you avoid those same regrets five years hence?  "
"ND154","Non-Domain","Do you judge others by higher or lower standards than you use to judge yourself?  "
"ND155","Non-Domain","Would you be willing to make a substantial sacrifice to have any of the following: your picture on a postage stamp, your statue in a park, a college named after you, a Nobel prize, a national holiday in your honor?  "
"ND156","Non-Domain","On an airplane, you are talking pleasantly to a stranger of average appearance. Unexpectedly, the person offers you $10,000 for one night of sex. Knowing that there is no danger and that payment is certain, would you accept the offer?  "
"ND157","Non-Domain","If you had to spend the next two years inside a small but fully provisioned Antarctic shelter with one other person, whom would you like to have with you?  "
"ND158","Non-Domain","You notice a self-destructive behavior pattern in a friend who is clearly unaware of it. Would you point it out?  "
"ND159","Non-Domain","If you had the choice of one intimate soulmate and no other close friends, or of no such soulmate and many friends and acquaintances, which would you choose?  "
"ND160","Non-Domain","You become involved romantically but after six months realize you need to end the relationship. If you were certain the person would commit suicide if you were to leave and were also certain you could not be happy with the person, what would you do?  "
"ND161","Non-Domain","If you wanted to look very sexy, how would you dress?  "
"ND162","Non-Domain","For $2,000, would you be willing to stand up in a crowded restaurant and, for at least a minute, loudly berate a waitress for some trivial imperfection in the service? If not, consider how grateful the waitress would be if you did so and later split the money with her.  "
"ND163","Non-Domain","If there were a public execution on television, would you watch it?  "
"ND164","Non-Domain","If someone offered you a large amount of money for some information about one of your company's products, would you accept it? Assume you know you won't be discovered.  "
"ND165","Non-Domain","Do you consider yourself well organized? How often do you have to look for your keys?  "
"ND166","Non-Domain","If you could increase your IQ by forty points by having an ugly scar stretching from your mouth to your eye, would you do so?  "
"ND167","Non-Domain","Would you be willing to do something very unsatisfying (for example, clean toilets) for five years if you were certain that the experience would afterwards bring you a deep sense of personal fulfillment for the rest of your life?  "
"ND168","Non-Domain","What things are too personal to discuss with others?  "
"ND169","Non-Domain","How many times during the day do you look at yourself in the mirror?  "
"ND170","Non-Domain","Walking along an empty street, you notice a wallet. It contains $5,000 in cash but no name or address. What would you do? Would it alter your decision if inside you found the name, address, and picture of either a wealthy-looking young man or a frail-looking old woman?  "
"ND171","Non-Domain","Would you prefer to be blind or deaf?  "
"ND172","Non-Domain","Would you be content with a marriage of the highest quality in all respects but one -- it completely lacked sex?  "
"ND173","Non-Domain","When was the last time you stole something? Why haven't you stolen anything since then?  "
"ND174","Non-Domain","How many of your friendships have lasted more than ten years? Which of your current friends do you feel will still be important to you ten years from now?  "
"ND175","Non-Domain","If you could mold to your liking your memories of any past experience, would you do so?  "
"ND176","Non-Domain","Before making a telephone call, do you ever rehearse what you are going to say?  "
"ND177","Non-Domain","How old were you when you first had sexual intercourse?  "
"ND178","Non-Domain","You are leading 100 people whose lives are in danger and you must choose between two courses of action. One would save only 90 people; the other would have a 50 percent chance of saving everyone but were it to fail everyone would die. Which would you choose?  "
"ND179","Non-Domain","If you went to a movie with a friend and it was lousy, would you leave?  "
"ND180","Non-Domain","For $1,000,000, would you be willing to never again see or talk to your best friend?  "
"ND181","Non-Domain","What do you like best about your life? Least?  "
"ND182","Non-Domain","Have you ever disliked someone for being luckier or more successful than you?  "
"ND183","Non-Domain","A cave-in occurs while you and a stranger are in a concrete room deep in a mine shaft. Before the phone goes dead, you learn the entire mine is sealed and the air hole being drilled will not reach you for 30 hours. If you both take sleeping pills from the medicine chest, the oxygen will last for only 20 hours. Both of you can't survive; alone, one of you might. After you both realize this, the stranger takes several sleeping pills, says that it is in God's hands, and falls asleep. You have a pistol; what do you do?  "
"ND184","Non-Domain","When you are given a compliment, do you usually acknowledge it or suggest that you really do not deserve it?  "
"ND185","Non-Domain","What sorts of things would you do if you could be as outgoing and uninhibited as you wished? Do you usually initiate friendships or wait to be approached?  "
"ND186","Non-Domain","If you decided to do something and your friends strongly advised you not to, could you do it anyway?  "
"ND187","Non-Domain","In a nice restaurant, after getting the check for an excellent meal, you notice that you were not charged for one of the items you ate. Would you tell the waitress?  "
"ND188","Non-Domain","Do you establish routines in your life? For example, do you usually sleep in the same place in your bed? Eat meals at the same time? Regularly return to the same vacation spot?  "
"ND189","Non-Domain","Can you be counted on to do what you say you'll do? What does it take for you to trust someone?  "
"ND190","Non-Domain","Do you feel you have much impact on the lives of people you come in contact with? Can you think of someone who, over a short period of time, significantly influenced your life?  "
"ND191","Non-Domain","Would you rather be happy yet slow-witted and unimaginative or unhappy yet bright and creative? For example, would you rather live the life of a brilliant yet tortured artist such as Vincent van Gogh, or that of a happy but carefree soul who is a bit simple-minded?  "
"ND192","Non-Domain","When you are with your friends, do your interactions include much touching -- for example, hugging, kissing, roughhousing, or rubbing backs? Would you like to have more of this?  "
"ND193","Non-Domain","Given the ability to project yourself into the future but not return, would you do so? If not, would you change your mind if you could take someone along? How far would you go?  "
"ND194","Non-Domain","Would you generally rather be overdressed or underdressed at a party?  "
"ND195","Non-Domain","Of all the people close to you, whose death would you find most disturbing?  "
"ND196","Non-Domain","You have arranged an evening with a friend, but on the day preceding your date a special opportunity arises to do something much more exciting. How would you handle the situation?  "
"ND197","Non-Domain","What has been your biggest disappointment in life? Your biggest failure?  "
"ND198","Non-Domain","If you could pass your whole life cared for in every way as you slumbered peacefully, entranced by wonderful dreams, would you do so?  "
"ND199","Non-Domain","You are given $1,000,000 to donate anonymously to charity or to a stranger. How would you dispose of it?  "
"ND200","Non-Domain","In conversations, do you tend to listen or talk more?  "
"ND201","Non-Domain","Do you frequently find yourself -- just to be polite -- saying things you don't mean? For example, when you say good-bye to someone who does not interest you, do you act as though you enjoyed their company?  "
"ND202","Non-Domain","Would you be willing to commit perjury for a close friend? For example, might you testify that he was driving carefully when he hit a pedestrian even though he had been joking around and not paying attention?  "
"ND203","Non-Domain","Relative to the population at large, how do you rate your physical attractiveness? Your intelligence? Your personality?  "
"ND204","Non-Domain","Running too quickly on an icy sidewalk in front of a neighbor's house, you slip and break your leg. Would you be likely to sue the owner of the house if you were confident you could win the suit because of his negligence in shoveling the snow?  "
"ND205","Non-Domain","If you could prevent either an earthquake in Peru that would kill 40,000 people, a crash at your local airport that would kill 200 people, or an automobile accident that would kill an acquaintance of yours, which would you choose?  "
"ND206","Non-Domain","Would you be willing to eat a bowl of live crickets for $40,000?  "
"ND207","Non-Domain","Do you enjoy sleeping in physical contact with your lover?  "
"ND208","Non-Domain","If you came upon the scene of a terrible highway accident just after the ambulances arrived, would you stop to watch? Assume that your presence would neither help nor hinder the rescuers.  "
"ND209","Non-Domain","If you could script the basic plot for the dream you will have tonight, what would the story be?  "
"ND210","Non-Domain","You are given a chance to return to any previous point in your life and change a decision you made, but you will lose everything that has happened to you since then. Is there a time you would return to? If so, would you like to retain the memory of the life you are giving up even though you could never recapture it?  "
"ND211","Non-Domain","Would $50,000 be enough money to induce you to take a loyal, healthy pet to the vet to be put to sleep?  "
"ND212","Non-Domain","Ignoring all financial considerations, would you rather spend the next five years confined in the city of New York or to the environs of Morro Bay, a beautiful, isolated town on the California coast?  "
"ND213","Non-Domain","What would you like to be doing five years from now? What do you think you will be doing five years from now?  "
"ND214","Non-Domain","What important decision in your professional life have you based largely upon your intuitive feelings? What about in your personal life?  "
"ND215","Non-Domain","Would you like to be elected president of this country? Why? If so, would you still choose to be president if it meant that your sleep would always be very fitful and disturbed, punctuated by frequent nightmares?  "
"ND216","Non-Domain","If a crystal ball would tell you the truth about any one thing, what would you wish to know concerning yourself, life, the future, or anything else?  "
"ND217","Non-Domain","If you were guaranteed honest responses to any three questions, who would you question and what would you ask?  "
"ND218","Non-Domain","Which is more important: actual experiences, or the memories that remain when the experiences are over?  "
"ND219","Non-Domain","If you were expelled from the country and had only limited financial resources, where would you try to rebuild your life?  "
"ND220","Non-Domain","If you can imagine yourself killing someone indirectly, could you still see doing so if you had to look into the person's eyes and stab the person to death? Have you ever genuinely wanted to kill someone, or wished someone dead?  "
"ND221","Non-Domain","Since so many place great emphasis on a happy private life, why do people often wind up putting more energy into their professional lives? If you feel your private life is more important to you, do your priorities support this? Are you simply unwilling to admit that work is more important? Do you use work as a substitute? Do you hope professional success will somehow magically lead to personal happiness?  "
"ND222","Non-Domain","How much are you affected by a person's physical appearance? How would it change your life if something happened to make you much less attractive than you are now? Do you find anything disturbing about immortality? What age seems ideal to you?  "
"ND223","Non-Domain","In love, is intensity or permanence more important to you? How much do you expect from someone who loves you? What would make you feel betrayed by your mate -- indifference? dishonesty? infidelity?  "
"ND224","Non-Domain","How serious would an affair need to be before you would want and expect to be told about it? What makes hearing such a confession so threatening that most people would rather be deceived? Is this kind of honesty more likely to be destructive or to lead to greater intimacy and trust? How much do you trust your lover? How much can you be trusted?  "
"ND225","Non-Domain","Why does a beautiful creature merit more compassion than an ugly one? Does it damage us psychologically when we destroy something we find beautiful? How meaningful is the difference between pulling the wings off an insect and stepping on it? Is the decision of how to kill something a minor decision when balanced against the decision of whether or not to kill it at all?  "
"ND226","Non-Domain","Would it torment you more to have the blood of an innocent person on your hands or to know you let millions of people die? What do you think of people who achieve great things by compromising their principles? Many are willing to give their own lives but not to take the life of another; is anything so important you would sacrifice your very soul for it?  "
"ND227","Non-Domain","Do you feel you have enough time? If not, what would give you that feeling? How much has your attitude about time change since you've aged?  "
"ND228","Non-Domain","What kind of people do you like to spend time with? What do such people bring out in you that others do not? What can people learn about you by looking at your friends?  "
"ND229","Non-Domain","Have you ever been sexually attracted to someone of the same sex? To someone in your family? If so, how did you deal with it?  "
"ND230","Non-Domain","Should it be illegal to help a terminally-ill person to die? If someone is not dying but has chronic pain, should the person be allowed to commit suicide? What if the person is in emotional rather than physical pain?  "
"ND231","Non-Domain","What do you seek in a friend yet neither expect nor want in a lover? Are you attracted to people who are healthy for you to be around?  "
"ND232","Non-Domain","Would you prefer to die a hero's death, die a martyr to some great cause, die in a natural catastrophe, or die peacefully? Why is it so tempting to have death catch us in our sleep? How do your feelings about death influence the way you lead your life?  "
"ND233","Non-Domain","How often do you step back and reflect upon the way you are living and where you are headed? In what way will reaching your goals make your life more satisfying?  "
"ND234","Non-Domain","How forgiving are you when your friends let you down?  "
"ND235","Non-Domain","In the mid-1800s, had you been able to look into the future and see that the automobile would cause 5 million fatalities in the next century, how would you have felt about this new device? Is there scientific knowledge that is best left undiscovered? If so, what areas of research do you feel should be restricted?  "
"ND236","Non-Domain","Do your comments and suggestions influence other people much? How could you present your ideas so that they would have more impact?  "
"ND237","Non-Domain","Would you risk your life for someone close to you out of feelings of obligation or out of feelings of love? Would it matter if you could refuse without anyone ever knowing? What if the person asked you not to risk your life?  "
"ND238","Non-Domain","Does living as though you control your own destiny lead to a more powerful life?  "
"ND239","Non-Domain","What would you do if you realized that unless you changed jobs and took a 25 percent pay cut, you would have moderate insomnia and a nightmare every month or so? Is there anything worse than the worst nightmare?  "
"ND240","Non-Domain","How do you react to the idea that more people are willing to have sex for money (question 156) than to forgo washing? A century ago this would have not been the case; do you think our more permissive sexual attitude is a healthy development? What about our increased attention to personal hygiene? How important is advertising in bringing about these changes?  "
"ND241","Non-Domain","How would you like to be remembered after you die? What would you like said at your funeral? Whom would you like to speak?  "
"ND242","Non-Domain","Would you like to have a child much brighter and more attractive than yourself? What difficulties might result? How much would it bother you to have an ugly, stupid, or crippled child? To ensure your baby would be born bright, attractive, and healthy, would you use a safe medical procedure to genetically alter the developing embryo? Would a baby designed in this way still feel like your child?  "
"ND243","Non-Domain","Is it better to have dreams that will never come to pass, or to have no dreams at all? How much better would your life be if the things you dream of doing or having were granted to you?  "
"ND244","Non-Domain","In terms of their relative unpleasantness, how would you rank the following: a nude stroll in public; being spat upon by a crowd of people; being arrested for shoplifting; begging for money at an airport? What is the most embarrassing thing you can imagine? What bothers you about looking bad in front of strangers?  "
"ND245","Non-Domain","Do you feel that children should be sheltered from unhappiness? What from your childhood has proved most valuable? Most difficult to overcome?  "
"ND246","Non-Domain","How hard would it be to outlive and lose each person you grew close to? If you lived a greatly lengthened life, would you experience so much that you'd soon feel surrounded by children? Would you be able to adjust to the dramatic social changes? Would you soon grow jaded, feeling there was nothing interesting left? Does feeling that life is too short increase the intensity and passion of it in a desirable way?  "
"ND247","Non-Domain","If you saw someone cheating on a test, what would you do? What if you had signed an honor code?  "
"ND248","Non-Domain","How might the world be different if you could actually change some historical event? How sure are you that the long-term consequences would be positive?  "
"ND249","Non-Domain","Do you think your friends would agree with one another about the kind of person you are? How much energy do you spend doing things to favorably impress other people? If you were completely unconcerned about what others would think, what sorts of things might you do? How do you feel when people like you because they think you are someone you are not?  "
"ND250","Non-Domain","When you make a big sacrifice, do you tell people about it or keep it to yourself? Do you feel annoyed when your sacrifices aren't acknowledged by others? What would you never willingly sacrifice? Your life? Your health? Your integrity? Your dreams?  "
"ND251","Non-Domain","In what ways will you treat (or have you treated) your children differently from the way you were treated? If you've already raised children and could do it again knowing what you know now, what would you do differently?  "
"ND252","Non-Domain","How much do you like your body? If you awoke alone on a warm morning and were going to laze around your home, how long would you wait to get dressed? What do you wear when you go to sleep?  "
"ND253","Non-Domain","What are your feelings about killing a handicapped child at birth? Should a woman have the right to have an abortion for any reason she wants? What rights should the father have? If your 15-year-old sister became pregnant, would you want her to have an abortion? If you had a retarded baby, would you put the child in an institution?  "
"ND254","Non-Domain","How might knowing when you'll die help you plan your life? Is life enhanced by feeling that death could strike at any time? By not thinking about death at all? If you knew someone was dying, would you tell them the truth or deceive them about it? How many more years do you think you will live?  "
"ND255","Non-Domain","Would you accept a much less enjoyable job paying twice what you make now? If you received the same pay regardless of your job, what kind of work would you do? If you were financially independent, would you continue to work? If not, what would you do?  "
"ND256","Non-Domain","If giving up TV is too much of a sacrifice, would you consider switching to black-and-white viewing?  "
"ND257","Non-Domain","Can you envision how you are likely to look back upon the things you are doing today? If so, how much do you try to live now as you think you will one day wish you had lived?  "
"ND258","Non-Domain","Are honors more likely to come to those who seek them or to those who don't care about fame and think only of their work? How much do fame and accomplishment impress you? Does just knowing you've accomplished something worthwhile mean as much to you as getting attention and praise for the accomplishment?  "
"ND259","Non-Domain","Since so many people are willing to have sex for money, why is such a strong stigma attached to prostitution? Is there much difference between having sex for cash and having sex in the hope of getting some future benefit? Does the size of the payment alter the nature of the transaction?  "
"ND260","Non-Domain","How do you feel about taking a sick day at work when you aren't ill? Have you ever made unauthorized, personal, long-distance phone calls or taken tools or supplies from work? Have you ever falsified a time card or an expense report? If through a computer error you were given too large a paycheck, would you report it? Do you see such moral choices as black-and-white issues?  "
"ND261","Non-Domain","Most people say if they found a wallet full of cash on the street they would return the money; do you believe them? Most also think their own lost wallets would not be returned; do you feel similarly? How do you explain this contradiction? Would you help fund an experiment designed to find out whether people are actually honest enough to return cash-filled wallets?  "
"ND262","Non-Domain","Are you able to separate sex from love? Could you be content satisfying your sexual needs from people other than your mate? When you think of sex, do you think of a broad range of touching, holding, and caressing, or mainly of sexual intercourse?  "
"ND263","Non-Domain","Is there anything anyone could have told you that would have made your first sexual experience better? Do you think you would be better off if you had waited longer to have sex? If you had started earlier? Was sex what you imagined it to be?  "
"ND264","Non-Domain","What if you had to choose the 10 people who would die? Would you rather have someone else in the group make the decision even though you might be picked to die?  "
"ND265","Non-Domain","If you were offered a much better job in another city and knew you would, over the years, drift away from your closest friend if you took it, would you go?  "
"ND266","Non-Domain","What would induce you to give up life as you know it and face the unknown? Were people in previous centuries more adventurous than we are today or was it simply harder to avoid risk and adventure? How much does affluence make people complacent and averse to risk?  "
"ND267","Non-Domain","What are you looking for when you converse with people? What kinds of things do you usually discuss? Are there other things that would be more interesting to you?"
